task,model,div_step,mean_steps,div_pct,div_actions
astropy-12907,claude,1,38.0,2.631578947368421,EXPLORE vs UNDERSTAND
astropy-12907,llama,1,16.6,6.024096385542168,EXPLORE vs LOCATE
astropy-13033,claude,4,42.6,9.389671361502346,EXPLORE vs UNDERSTAND
astropy-13033,llama,2,22.4,8.928571428571429,EXPLORE vs LOCATE vs UNDERSTAND
astropy-13236,claude,1,40.2,2.487562189054726,EXPLORE vs LOCATE vs UNDERSTAND
astropy-13236,llama,1,13.2,7.575757575757576,EXPLORE vs LOCATE
astropy-13398,claude,8,47.8,16.73640167364017,LOCATE vs UNDERSTAND
astropy-13398,llama,2,14.6,13.698630136986301,EXPLORE vs LOCATE
astropy-13453,claude,2,41.2,4.854368932038835,EXPLORE vs UNDERSTAND
astropy-13453,llama,1,11.0,9.090909090909092,EXPLORE vs LOCATE
astropy-13579,claude,3,52.8,5.6818181818181825,EXPLORE vs UNDERSTAND
astropy-13579,llama,1,14.4,6.944444444444445,EXPLORE vs LOCATE vs UNDERSTAND
astropy-13977,claude,3,48.8,6.147540983606558,EXPLORE vs LOCATE vs UNDERSTAND
astropy-13977,llama,2,12.8,15.625,EXPLORE vs LOCATE vs UNDERSTAND
astropy-14096,claude,3,47.0,6.382978723404255,EXPLORE vs UNDERSTAND
astropy-14096,llama,1,22.2,4.504504504504505,EXPLORE vs LOCATE
astropy-14182,claude,4,53.2,7.518796992481203,EXPLORE vs UNDERSTAND
astropy-14182,llama,1,26.6,3.7593984962406015,EXPLORE vs LOCATE
astropy-14309,claude,2,48.4,4.132231404958678,EXPLORE vs UNDERSTAND
astropy-14309,llama,2,14.4,13.88888888888889,EXPLORE vs LOCATE vs UNDERSTAND
