task_id,model,run_id,first_action,first_action_category,success
astropy-12907,claude,1,find,FIND,True
astropy-12907,claude,2,find,FIND,True
astropy-12907,claude,3,cat,UNDERSTAND,True
astropy-12907,claude,4,ls,EXPLORE,True
astropy-12907,claude,5,ls,EXPLORE,True
astropy-13033,claude,1,ls,EXPLORE,False
astropy-13033,claude,2,find,FIND,True
astropy-13033,claude,3,find,FIND,True
astropy-13033,claude,4,find,FIND,False
astropy-13033,claude,5,find,FIND,True
astropy-13236,claude,1,grep,GREP,False
astropy-13236,claude,2,find,FIND,False
astropy-13236,claude,3,cat,UNDERSTAND,False
astropy-13236,claude,4,find,FIND,False
astropy-13236,claude,5,find,FIND,False
astropy-13398,claude,1,find,FIND,False
astropy-13398,claude,2,find,FIND,False
astropy-13398,claude,3,find,FIND,False
astropy-13398,claude,4,find,FIND,False
astropy-13398,claude,5,find,FIND,False
astropy-13453,claude,1,find,FIND,True
astropy-13453,claude,2,find,FIND,True
astropy-13453,claude,3,find,FIND,True
astropy-13453,claude,4,ls,EXPLORE,True
astropy-13453,claude,5,ls,EXPLORE,True
astropy-13579,claude,1,find,FIND,True
astropy-13579,claude,2,find,FIND,True
astropy-13579,claude,3,find,FIND,True
astropy-13579,claude,4,find,FIND,True
astropy-13579,claude,5,find,FIND,True
astropy-13977,claude,1,find,FIND,False
astropy-13977,claude,2,find,FIND,False
astropy-13977,claude,3,find,FIND,False
astropy-13977,claude,4,find,FIND,False
astropy-13977,claude,5,ls,EXPLORE,False
astropy-14096,claude,1,ls,EXPLORE,True
astropy-14096,claude,2,ls,EXPLORE,True
astropy-14096,claude,3,ls,EXPLORE,True
astropy-14096,claude,4,ls,EXPLORE,True
astropy-14096,claude,5,ls,EXPLORE,True
astropy-14182,claude,1,find,FIND,False
astropy-14182,claude,2,find,FIND,False
astropy-14182,claude,3,find,FIND,True
astropy-14182,claude,4,find,FIND,False
astropy-14182,claude,5,find,FIND,False
astropy-14309,claude,1,find,FIND,True
astropy-14309,claude,2,find,FIND,True
astropy-14309,claude,3,ls,EXPLORE,True
astropy-14309,claude,4,ls,EXPLORE,True
astropy-14309,claude,5,find,FIND,True
astropy-12907,llama,1,grep,GREP,False
astropy-12907,llama,2,ls,EXPLORE,False
astropy-12907,llama,3,ls,EXPLORE,False
astropy-12907,llama,4,find,FIND,False
astropy-12907,llama,5,ls,EXPLORE,False
astropy-13033,llama,1,ls,EXPLORE,False
astropy-13033,llama,2,find,FIND,False
astropy-13033,llama,3,find,FIND,False
astropy-13033,llama,4,ls,EXPLORE,False
astropy-13033,llama,5,ls,EXPLORE,False
astropy-13236,llama,1,find,FIND,False
astropy-13236,llama,2,grep,GREP,False
astropy-13236,llama,3,grep,GREP,False
astropy-13236,llama,4,grep,GREP,False
astropy-13236,llama,5,grep,GREP,True
astropy-13398,llama,1,ls,EXPLORE,False
astropy-13398,llama,2,ls,EXPLORE,False
astropy-13398,llama,3,ls,EXPLORE,False
astropy-13398,llama,4,ls,EXPLORE,False
astropy-13398,llama,5,ls,EXPLORE,False
astropy-13453,llama,1,grep,GREP,False
astropy-13453,llama,2,find,FIND,False
astropy-13453,llama,3,grep,GREP,False
astropy-13453,llama,4,ls,EXPLORE,False
astropy-13453,llama,5,grep,GREP,False
astropy-13579,llama,1,grep,GREP,False
astropy-13579,llama,2,ls,EXPLORE,False
astropy-13579,llama,3,ls,EXPLORE,False
astropy-13579,llama,4,cat,UNDERSTAND,False
astropy-13579,llama,5,ls,EXPLORE,False
astropy-13977,llama,1,ls,EXPLORE,False
astropy-13977,llama,2,ls,EXPLORE,False
astropy-13977,llama,3,find,FIND,False
astropy-13977,llama,4,find,FIND,False
astropy-13977,llama,5,ls,EXPLORE,False
astropy-14096,llama,1,grep,GREP,False
astropy-14096,llama,2,grep,GREP,False
astropy-14096,llama,3,find,FIND,False
astropy-14096,llama,4,find,FIND,False
astropy-14096,llama,5,ls,EXPLORE,False
astropy-14182,llama,1,ls,EXPLORE,False
astropy-14182,llama,2,grep,GREP,False
astropy-14182,llama,3,ls,EXPLORE,False
astropy-14182,llama,4,ls,EXPLORE,False
astropy-14182,llama,5,ls,EXPLORE,False
astropy-14309,llama,1,ls,EXPLORE,False
astropy-14309,llama,2,ls,EXPLORE,False
astropy-14309,llama,3,ls,EXPLORE,False
astropy-14309,llama,4,ls,EXPLORE,True
astropy-14309,llama,5,find,FIND,False
